Strain	Mean.Eye.Size
  26	10995.0
  31	13997.1
  32	11071.0
  38	11661.6
  40	10684.1
  41	13478.3
  42	11096.3
  45	10258.2
  48	11302.8
  49	12532.0
  57	11680.6
  59	12650.1
  69	12581.1
  73	11719.2
  75	11868.4
  80	11481.4
  83	7957.2
  85	14305.0
  88	8319.2
  91	9519.9
  93	12271.7
  100	12530.7
  101	13377.3
  105	11504.1
  109	10535.7
  129	15094.9
  136	13484.8
  138	11763.5
  142	10649.9
  149	14273.5
  153	14642.7
  158	10191.2
  161	14041.3
  176	13779.7
  177	13389.5
  181	13897.1
  189	12305.8
  195	14550.5
  202	12377.8
  208	13135.6
  217	13720.9
  223	13015.5
  227	12842.0
  228	12050.9
  233	13036.6
  235	14357.2
  237	14835.6
  239	12381.5
  256	11442.8
  280	15558.7
  287	14146.4
  301	15442.6
  303	10911.5
  304	16883.5
  306	14114.0
  307	16190.5
  309	13817.4
  310	16120.2
  313	12231.3
  317	14728.9
  318	14760.6
  319	14443.7
  320	15780.0
  321	13222.9
  324	14473.1
  332	14247.4
  335	13942.6
  336	15042.5
  338	12486.2
  340	13624.2
  348	11844.4
  350	14115.1
  352	11703.1
  354	11156.0
  355	10161.9
  356	13682.8
  357	13307.0
  358	13710.3
  359	14953.5
  360	14759.9
  361	13296.7
  362	13948.3
  365	13741.1
  370	13735.3
  371	13588.8
  373	15177.6
  374	14447.6
  375	11022.5
  377	13915.1
  378	14869.0
  379	15732.6
  380	14699.7
  381	14825.2
  382	12343.2
  383	14125.8
  385	14199.9
  386	14980.8
  387	15299.1
  390	12540.0
  391	15518.6
  392	12110.9
  393	10633.6
  395	10173.0
  397	9889.8
  398	12362.4
  399	9614.0
  405	11428.1
  406	9836.9
  409	12328.3
  426	13096.2
  427	10211.1
  437	11348.6
  439	12511.1
  440	13604.2
  441	10700.4
  443	11927.3
  461	12439.9
  486	11527.7
  491	12080.4
  492	12028.0
  502	12365.1
  505	13808.7
  508	11139.6
  509	10804.0
  513	15047.0
  514	13173.8
  517	12987.9
  528	14522.9
  530	9698.2
  531	15134.3
  535	10991.6
  551	10302.7
  554	10637.6
  555	11383.0
  559	12292.4
  563	12843.9
  566	13341.7
  584	8505.4
  589	13176.0
  595	10890.1
  627	10589.8
  630	11676.7
  634	13536.5
  639	12896.9
  642	11758.5
  646	14300.2
  705	12033.4
  707	12700.1
  712	12311.9
  714	11308.4
  716	12098.0
  721	12553.5
  727	13704.9
  730	11907.6
  732	11609.6
  737	10558.1
  738	11340.0
  748	10583.5
  750	11169.4
  757	14805.2
  761	11278.7
  765	12016.3
  771	11812.1
  774	11254.4
  776	12377.4
  783	12918.7
  787	11734.4
  790	11239.2
  796	9241.6
  799	10927.9
  801	10080.1
  802	10959.3
  804	11020.0
  805	11716.8
  808	12133.6
  810	14858.9
  812	11980.9
  818	14437.3
  819	11132.4
  820	11934.9
  821	11693.4
  822	11631.6
  832	12180.9
  837	11880.8
  843	12141.5
  849	11444.3
  850	12299.6
  852	13695.7
  853	11761.8
  855	13074.9
  859	12309.9
  861	13736.6
  879	13942.6
  882	12302.0
  890	13796.5
  892	14328.4
  894	12925.4
  897	12648.6
  900	11870.9
  907	12922.5
  911	11856.8
  913	13695.0
